Resource ID,Title,Author,Publisher,Published/Issued Date,Type,Home Library,Call Number,Barcode,ISBN
1001,Qur'anic Terminology: A Linguistic and Semantic Analysis,Balil Abd Al-Karim,,2017-00-00,Book,Anytown College Library,BP130.4 .A23 2017,500001,1565646983
1002,Abu Zayd al-Balkhi's Sustenance of the Soul,Malik Badri,,2013-00-00,Book,Anytown College Library,R128.3 .B34213 2013,500002,1565645995
1003,The Price of Admission,Daniel Golden,,2006-00-00,Book,Anytown College Library,LB2351.2 .G65 2006,500003,1400097975
1004,'Alaa Khataa Al-Habib: Ma Qabl Al-Ba'atha,"Khaled, Amr Mohamed Helmi",,,Book,Anytown College Library,D21 .K52,500004,977610391X
1005,When time stood still,"Kamarudin, Raja Petra",,2000-00-00,Book,Anytown College Library,BL80 .K49 2000,500005,9834043503
1006,They dare to speak out : people and institutions confront Israel's lobby,"Findley, Paul",,1989-00-00,Book,Anytown College Library,HT1126 .F42 1989,500006,1556520735
1007,The end of Blackness : returning the souls of Black folk to their rightful owners,"Dickerson, Debra J.",,2004-00-00,Book,Anytown College Library,BM535 .D24 2004,500007,9780375421570
1008,Islam : the view from the edge / Richard W. Bulliet.,"Bulliet, Richard W.",,1994-00-00,Book,Anytown College Library,BL80 .B37 1994,500008,9780231082198
1009,Sociology in Islamic perspective : selected readings / edited with an introduction by A.R. Momin.,,,,Book,Anytown College Library,JC599 .A76,500009,9389965594
1010,"Islam : past, present and future","Küng, Hans",,2009-00-00,Book,Anytown College Library,BM535 .K43 2009,500010,1851686126
1011,"Aḍwāʼ ʻalá shiʻār al-Islām huwa al-ḥall / Ibrāhīm ʻUbayd., Islām huwa al-ḥall","ʻUbayd, Ibrāhīm",,2006-00-00,Book,Anytown College Library,HT1126 .ʻ55 2006,500011,9776157211
1012,Islam in the African-American experience,"Turner, Richard Brent",,2003-00-00,Book,Anytown College Library,PN511 .T68 2003,500012,9780253216304
1013,To be free : pioneering studies in Afro-American history,"Aptheker, Herbert",,1968-00-00,Book,Anytown College Library,BM535 .A68 1968,500013,9780806512570
1014,Al-Usrah Fi Maqasid Al-Shariah : Qiraah Fi Qadaya Al-Zawaj Wa-Al-Talaq Fi Amrika,"Alwaanai, Zaynab Otaahaa",,,Book,Anytown College Library,DS35 .A81,500014,156564476X
1015,"Islam, the West and the challenges of modernity / Tariq Ramadan ; translated by Saïd Amghar","Ramadan, Tariq",,2001-00-00,Book,Anytown College Library,HT1126 .R12 2001,500015,0860373118
1016,Spirituality and the Black helping tradition in social work,"Martin, Elmer P., Martin, Joanne M.",,2002-00-00,Book,Anytown College Library,KBP144 .M10 2002,500016,0871013223
1017,Confronting Islamophobia in educational practice,,,2004-00-00,Book,Anytown College Library,BP130 .A99 2004,500017,9781858563404
1018,The assault on American excellence,"Kronman, Anthony T.",,2019-00-00,Book,Anytown College Library,KBP144 .K39 2019,500018,9781501199486
1019,"My life with Martin Luther King, Jr.","King, Coretta Scott",,1994-00-00,Book,Anytown College Library,PN511 .K98 1994,500019,0140368051
1020,The healing power of Sufi meditation,"Mirahmadi, Sayyid Nurjan., Mirahmadi, Hedieh",,2005-00-00,Book,Anytown College Library,KBP144 .M22 2005,500020,1930409265
1021,Ya Allah Pardon Me,"S.Adly, Muhammad",,,Book,Anytown College Library,BP75 .S90,500021,0983107793
1022,A history of Iran : empire of the mind,"Axworthy, Michael",,0000-00-00,Book,Anytown College Library,PN511 .A21 0000,500022,9780465008889
1023,The Little Seagull handbook : with exercises,"Bullock, Richard H.",,2016-00-00,Book,Anytown College Library,JC599 .B37 2016,500023,9780393602647
1024,The Qur'an and normative religious pluralism : a thematic study of the Qur'an,"Abdullah, Arif Kemil",,2014-00-00,Book,Anytown College Library,BP55 .A97 2014,500024,1565646576
1025,Webster's II new Riverside university dictionary.,"Company, Riverside Publishing",,1984-00-00,Book,Anytown College Library,BL80 .C63 1984,500025,039533957X
1026,Islam and Belief: At Home with Religious Freedom,"Saeed, Abdullah",,,Book,Anytown College Library,BP55 .S58,500026,0985108738
1027,Europe & the Near East: The Presence & Absence of Metals by Jack Goody,"Goody, Jack",,,Book,Anytown College Library,BS680 .G82,500027,9781565645899
